"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","node2vec",0.28,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","node2vec",0.202222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","node2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","node2vec",0.286666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","node2vec",0.273333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","node2vec",0.288888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","node2vec",0.284444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","node2vec",0.257777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","node2vec",0.206666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","node2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","node2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","node2vec",0.202222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","node2vec",0.246666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","node2vec",0.297777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","node2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","node2vec",0.246666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","node2vec",0.228888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","node2vec",0.215555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","node2vec",0.348888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","node2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","node2vec",0.22,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","node2vec",0.275555555555556,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","node2vec",0.313333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","node2vec",0.291111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","node2vec",0.268888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","node2vec",0.26,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","node2vec",0.271111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","node2vec",0.24,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","node2vec",0.248888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","node2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","node2vec",0.297777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","struc2vec",0.222222222222222,"100-0"
