"graph","embedder","pk_ratio","ratio"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_20","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_47","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_28","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_42","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_34","node2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_27","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_36","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_48","node2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_4","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_45","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_17","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_41","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_1","node2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_21","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_10","node2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_30","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_6","node2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_11","node2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_40","node2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_15","node2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_9","node2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_3","node2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_33","node2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_7","struc2vec",0.3,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_18","struc2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_25","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_24","struc2vec",0.3,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_13","struc2vec",0.2,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_22","struc2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_46","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_49","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_0","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_5","struc2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_8","struc2vec",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_12","struc2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_23","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_2","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_31","struc2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_16","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_44","struc2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_43","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_29","struc2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_38","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_14","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_26","struc2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_35","struc2vec",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_39","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_32","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_19","struc2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_37","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_20","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_47","struc2vec",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_28","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_42","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_34","struc2vec",0.2,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_27","struc2vec",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_36","struc2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_48","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_4","struc2vec",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_45","struc2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_17","struc2vec",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_41","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_1","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_10","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_21","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_30","struc2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_6","struc2vec",0.3,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_11","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_40","struc2vec",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_15","struc2vec",0.6,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_9","struc2vec",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_33","struc2vec",0.5,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_3","struc2vec",0.4,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_7","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_18","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_25","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_24","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_13","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_22","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_46","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_49","verse",0.7,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_0","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_5","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_8","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_12","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_23","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_2","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_16","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_31","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_44","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_43","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_38","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_29","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_14","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_26","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_39","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_35","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_32","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_19","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_20","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_37","verse",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_47","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_28","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_34","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_42","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_27","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_36","verse",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_48","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_4","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_45","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_17","verse",0.8,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_41","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_1","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_21","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_10","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_30","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_6","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_40","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_11","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_15","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_9","verse",0.9,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_3","verse",1,"60-40"
"input_data/5_10_graphs_0.6g_0.4ng/graph_sample_33","verse",1,"60-40"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_7","spring",0.8,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_18","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_25","spring",0.6,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_24","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_13","spring",0.4,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_22","spring",1,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_46","spring",1,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_0","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_5","spring",0.6,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_12","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_8","spring",0.8,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_23","spring",0.9,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2","spring",0.8,"50-50"
"input_data/5_10_graphs_0.5g_0.5ng/graph_sample_16","spring",0.8,"50-50"
