edgelist,group,embedder,similarity_metric,type,value
input_data/geometric_graphs/graph_sample_12,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9158333333333332
input_data/geometric_graphs/graph_sample_14,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9721362229102168
input_data/geometric_graphs/graph_sample_14,geometric_graphs,kamada_kawai,None,time,0.4197041988372803
input_data/geometric_graphs/graph_sample_14,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9596190476190476
input_data/geometric_graphs/graph_sample_48,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9384615384615383
input_data/geometric_graphs/graph_sample_48,geometric_graphs,kamada_kawai,None,time,0.3483188152313232
input_data/geometric_graphs/graph_sample_48,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9361428571428572
input_data/geometric_graphs/graph_sample_37,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.970873786407767
input_data/geometric_graphs/graph_sample_37,geometric_graphs,kamada_kawai,None,time,0.352642297744751
input_data/geometric_graphs/graph_sample_37,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.966439909297052
input_data/geometric_graphs/graph_sample_47,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9829545454545454
input_data/geometric_graphs/graph_sample_47,geometric_graphs,kamada_kawai,None,time,0.4772770404815674
input_data/geometric_graphs/graph_sample_47,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9902857142857142
input_data/geometric_graphs/graph_sample_7,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9833333333333332
input_data/geometric_graphs/graph_sample_7,geometric_graphs,kamada_kawai,None,time,0.5009157657623291
input_data/geometric_graphs/graph_sample_7,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9866666666666668
input_data/geometric_graphs/graph_sample_8,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9725274725274724
input_data/geometric_graphs/graph_sample_8,geometric_graphs,kamada_kawai,None,time,0.3813602924346924
input_data/geometric_graphs/graph_sample_8,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9863095238095236
input_data/geometric_graphs/graph_sample_0,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.968058968058968
input_data/geometric_graphs/graph_sample_0,geometric_graphs,kamada_kawai,None,time,0.4514608383178711
input_data/geometric_graphs/graph_sample_0,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9542857142857144
input_data/geometric_graphs/graph_sample_9,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9858356940509916
input_data/geometric_graphs/graph_sample_9,geometric_graphs,kamada_kawai,None,time,0.4891960620880127
input_data/geometric_graphs/graph_sample_9,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9908333333333332
input_data/geometric_graphs/graph_sample_46,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9701149425287356
input_data/geometric_graphs/graph_sample_46,geometric_graphs,kamada_kawai,None,time,0.3806040287017822
input_data/geometric_graphs/graph_sample_46,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.97234126984127
input_data/geometric_graphs/graph_sample_22,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9798994974874372
input_data/geometric_graphs/graph_sample_22,geometric_graphs,kamada_kawai,None,time,0.4702377319335937
input_data/geometric_graphs/graph_sample_22,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9848095238095236
input_data/geometric_graphs/graph_sample_26,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.99
input_data/geometric_graphs/graph_sample_26,geometric_graphs,kamada_kawai,None,time,0.4915139675140381
input_data/geometric_graphs/graph_sample_26,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.991
input_data/geometric_graphs/graph_sample_31,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9774436090225564
input_data/geometric_graphs/graph_sample_31,geometric_graphs,kamada_kawai,None,time,0.350996732711792
input_data/geometric_graphs/graph_sample_31,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9885
input_data/geometric_graphs/graph_sample_17,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9835164835164836
input_data/geometric_graphs/graph_sample_17,geometric_graphs,kamada_kawai,None,time,0.4414956569671631
input_data/geometric_graphs/graph_sample_17,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.996
input_data/geometric_graphs/graph_sample_44,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.958974358974359
input_data/geometric_graphs/graph_sample_44,geometric_graphs,kamada_kawai,None,time,0.4623627662658691
input_data/geometric_graphs/graph_sample_44,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.959095238095238
input_data/geometric_graphs/graph_sample_13,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9906976744186048
input_data/geometric_graphs/graph_sample_13,geometric_graphs,kamada_kawai,None,time,0.5438015460968018
input_data/geometric_graphs/graph_sample_13,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9905555555555556
input_data/geometric_graphs/graph_sample_10,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.831353919239905
input_data/geometric_graphs/graph_sample_10,geometric_graphs,kamada_kawai,None,time,0.5353569984436035
input_data/geometric_graphs/graph_sample_10,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.7859285714285714
input_data/geometric_graphs/graph_sample_40,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9827586206896552
input_data/geometric_graphs/graph_sample_40,geometric_graphs,kamada_kawai,None,time,0.5513529777526855
input_data/geometric_graphs/graph_sample_40,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,1.0
input_data/geometric_graphs/graph_sample_45,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9751243781094528
input_data/geometric_graphs/graph_sample_45,geometric_graphs,kamada_kawai,None,time,0.5046298503875732
input_data/geometric_graphs/graph_sample_45,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9883333333333332
input_data/geometric_graphs/graph_sample_39,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9016018306636157
input_data/geometric_graphs/graph_sample_39,geometric_graphs,kamada_kawai,None,time,0.4995784759521484
input_data/geometric_graphs/graph_sample_39,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.8716666666666667
input_data/geometric_graphs/graph_sample_25,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.8884026258205688
input_data/geometric_graphs/graph_sample_25,geometric_graphs,kamada_kawai,None,time,0.3381466865539551
input_data/geometric_graphs/graph_sample_25,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.8587301587301588
input_data/geometric_graphs/graph_sample_23,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9694117647058824
input_data/geometric_graphs/graph_sample_23,geometric_graphs,kamada_kawai,None,time,0.4955396652221679
input_data/geometric_graphs/graph_sample_23,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9506111111111112
input_data/geometric_graphs/graph_sample_24,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9369747899159664
input_data/geometric_graphs/graph_sample_24,geometric_graphs,kamada_kawai,None,time,0.5349500179290771
input_data/geometric_graphs/graph_sample_24,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9104761904761904
input_data/geometric_graphs/graph_sample_30,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9913544668587896
input_data/geometric_graphs/graph_sample_30,geometric_graphs,kamada_kawai,None,time,0.3721518516540527
input_data/geometric_graphs/graph_sample_30,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9914285714285714
input_data/geometric_graphs/graph_sample_21,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.953757225433526
input_data/geometric_graphs/graph_sample_21,geometric_graphs,kamada_kawai,None,time,0.4963338375091553
